"Año";"Periodo";"Estimación de muertes semanales"
"2011";"Semana 29";"6.618"
"2011";"Semana 30";"6.698"
"2011";"Semana 31";"6.892"
"2011";"Semana 32";"6.821"
"2011";"Semana 33";"7.051"
"2011";"Semana 34";"6.887"
"2011";"Semana 35";"6.635"
"2011";"Semana 36";"6.605"
"2011";"Semana 37";"6.690"
"2011";"Semana 38";"6.371"
"2011";"Semana 39";"6.756"
"2011";"Semana 40";"6.900"
"2011";"Semana 41";"7.089"
"2011";"Semana 42";"7.141"
"2011";"Semana 43";"7.308"
"2011";"Semana 44";"7.434"
"2011";"Semana 45";"7.408"
"2011";"Semana 46";"7.407"
"2011";"Semana 47";"7.320"
"2011";"Semana 48";"7.654"
"2011";"Semana 49";"7.816"
"2011";"Semana 50";"8.006"
"2011";"Semana 51";"8.380"
"2011";"Semana 52";"8.724"
"2012";"Semana 1";"8.698"
"2012";"Semana 2";"9.131"
"2012";"Semana 3";"9.241"
"2012";"Semana 4";"8.936"
"2012";"Semana 5";"9.256"
"2012";"Semana 6";"10.064"
"2012";"Semana 7";"11.103"
"2012";"Semana 8";"10.993"
"2012";"Semana 9";"10.535"
"2012";"Semana 10";"9.309"
"2012";"Semana 11";"8.907"
"2012";"Semana 12";"8.088"
"2012";"Semana 13";"8.135"
"2012";"Semana 14";"7.759"
"2012";"Semana 15";"7.626"
"2012";"Semana 16";"7.683"
"2012";"Semana 17";"7.551"
"2012";"Semana 18";"7.394"
"2012";"Semana 19";"7.625"
"2012";"Semana 20";"7.235"
"2012";"Semana 21";"6.972"
"2012";"Semana 22";"7.010"
"2012";"Semana 23";"6.771"
"2012";"Semana 24";"6.499"
"2012";"Semana 25";"6.589"
"2012";"Semana 26";"7.267"
"2012";"Semana 27";"6.451"
"2012";"Semana 28";"6.675"
"2012";"Semana 29";"6.612"
"2012";"Semana 30";"6.844"
"2012";"Semana 31";"6.742"
"2012";"Semana 32";"6.959"
"2012";"Semana 33";"6.842"
"2012";"Semana 34";"7.157"
"2012";"Semana 35";"6.536"
"2012";"Semana 36";"6.652"
"2012";"Semana 37";"6.524"
"2012";"Semana 38";"6.644"
"2012";"Semana 39";"6.268"
"2012";"Semana 40";"6.662"
"2012";"Semana 41";"6.845"
"2012";"Semana 42";"6.867"
"2012";"Semana 43";"6.696"
"2012";"Semana 44";"7.350"
"2012";"Semana 45";"7.366"
"2012";"Semana 46";"7.422"
"2012";"Semana 47";"7.308"
"2012";"Semana 48";"7.333"
"2012";"Semana 49";"7.747"
"2012";"Semana 50";"8.137"
"2012";"Semana 51";"7.866"
"2012";"Semana 52";"7.857"
"2013";"Semana 1";"7.914"
"2013";"Semana 2";"8.422"
"2013";"Semana 3";"8.562"
"2013";"Semana 4";"8.328"
"2013";"Semana 5";"8.359"
"2013";"Semana 6";"8.320"
"2013";"Semana 7";"8.609"
"2013";"Semana 8";"8.508"
"2013";"Semana 9";"8.472"
"2013";"Semana 10";"8.739"
"2013";"Semana 11";"7.947"
"2013";"Semana 12";"8.131"
"2013";"Semana 13";"7.703"
"2013";"Semana 14";"7.561"
"2013";"Semana 15";"7.551"
"2013";"Semana 16";"7.253"
"2013";"Semana 17";"7.020"
"2013";"Semana 18";"7.054"
"2013";"Semana 19";"7.166"
"2013";"Semana 20";"7.032"
"2013";"Semana 21";"6.940"
"2013";"Semana 22";"6.988"
